Topic	Stage	Actor	Complexity	Text	Interrupt	Turn	Affinity	Tangents (;)	Event	Anger	Fear	Ego	Respect	Humanism	Idealism	Pacifism	Altruism	Fatalism	Futurism	Tribalism	Authoritarianism	Militarism	Utilitarianism	Superiority
Call	Orientation	Joe	5	I just got a call from command.																				
		Jack	5	I assume it's about the malfunctions.	Want			Malfunction																
	Complication	Joe	9	We're in DEFCON 1.				Defcon																
			13	This is it.																				
		Jack	13	"You're not pulling a fast one on me, are you?"		Give																		
	Climax	Joe	17	We have 20 minutes to launch.				Launch																
	Denouement	Joe	20	Want to do the honors?														0.1						
			18	At times like these I'm glad we have a protocol to follow.																				
		Jack	20	I can't believe it.											0.2	0.2								
	Coda	Joe	18	"""Nuclear combat toe-to-toe with the Russkies"""				Launch;War							0.2	0.2								
			18	Those bastards.											1									
			16	About time they made the call.																	0.5	0.5		
		Jack	16	Bastards!											1									
Launch	Orientation	Joe	5	The launch code is 51193646.																				
			8	Confirm?		Give																		
		Jack	10	I'm not doing this.		Give						3												
	Complication	Jack	14	Screw the launch... And screw the command.				Jack		3		3												
			15	"You do whatever you want, kiddo."																				
			17	It'll be a slaughter.														2						
		Joe	5	We have our orders.				Duty																
			15	Calm down.																				
			15	I'm in this with you.										1						0.5				
			20	"You know this is treason, right?"																	2	1		2
			22	This is a no-lone zone.		Keep								1										
	Climax	Joe	17	"Fine, let's talk about it. It's our call, not just mine."				Confront						0.5		1								
			21	I am authorized to wield deadly force.																				
		Jack	24	"Shoot me if you want, I won't shoot back."		Give				3		3												
		Joe	24	God will judge you. See you in hell.					7															3
	Denouement	Joe	24	We need to calm down.																				
		Jack	26	You can't convince me.						-3		-3												
		Joe	18	Shouting at each other will do us no good.																				
	Coda	Joe	10	"Well, one rocket less won't make a difference."				Others																
			14	I got so carried away I forgot that you are my senior.																				
			17	"You didn't just, uh, lose your key now, did you?"																				
		Jack	10	I'm just a grumpy motherfucker.				Jack																
Malfunction	Orientation	Joe	5	Malfunctions?																				
		Jack	7	"Electrical malfunctions. Communications, ventilations."		Keep																		
			8	Can't you feel how hot it is?	Want																			
	Complication	Jack	10	Must be a broken power supply.																				
		Joe	12	I haven't noticed anything.																				
			14	The elevator did give me a good scare before.																				
