TICKER,Authority,Calamity,Call,Childhood,Civilians,Civilization,Complex,Confront,Cycles,Death,Defcon,Destruction,Development,Doomsday,Dreamers,Duty,Eroticism,Forget,God,History,Indians,Jack,Japan,Justice,Land,Launch,Malfunction,Man,Nature,Normality,Nukes,Others,Russians,Scientists,Time,War
1,-0.001,-0.00219,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0031,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0038,-0.001,-0.0024,-0.005760001,-0.001,-0.0024,-0.001,-0.001,-0.001,-0.0024,-0.0017
2,-0.001,-0.00219,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0031,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0038,-0.001,-0.0024,-0.005760001,-0.001,-0.0024,-0.001,-0.001,-0.001,-0.0024,-0.0017
3,-0.001992,-0.00434904,0.994008,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.0061584,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.007547201,-0.001992,-0.0047696,-0.01142016,-0.001992,-0.0047696,-0.001992,-0.001992,-0.001992,-0.0047696,-0.0033808
4,-0.002974048,-0.00646967,2.181935,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.00916515,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.002974048,-0.01122885,-0.002974048,-0.00710145,-0.01695653,-0.002974048,-0.00710145,-0.002974048,-0.002974048,-0.002974048,-0.00710145,-0.005037748
5,-0.00392853,-0.008484559,3.827873,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.01202947,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.01472978,-0.00392853,-0.009329155,-0.02215264,-0.00392853,-0.009329155,-0.00392853,-0.00392853,-0.00392853,-0.009329155,-0.006628843
6,-0.004898959,-0.01056104,4.153738,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.01497659,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.0183358,-0.004898959,-0.01161738,-0.02754729,-0.004898959,-0.01161738,-0.004898959,-0.004898959,-0.004898959,-0.01161738,-0.00825817
7,-0.00583997,-0.01252492,4.530605,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.01777195,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.02174928,-0.00583997,-0.01379462,-0.03257977,-0.00583997,-0.01379462,-0.00583997,-0.00583997,-0.00583997,-0.01379462,-0.009817296
8,-0.00683997,-0.01471492,4.529605,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.02087195,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.02554928,-0.00683997,-0.01619462,-0.03833977,-0.00683997,-0.01619462,-0.00683997,-0.00683997,-0.00683997,-0.01619462,-0.0115173
9,-0.007761759,-0.01660606,4.483428,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.02356896,-0.007761759,-0.007761759,-0.007761759,-0.007761759,-0.007761759,1.489582,2.178583,-0.01829989,-0.04313894,-0.007761759,-0.01829989,-0.007761759,-0.007761759,-0.007761759,-0.01829989,-0.01303082
10,-0.008684142,-0.01850075,4.437594,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.02627028,-0.008684142,-0.008684142,-0.008684142,-0.008684142,-0.008684142,2.423545,3.552399,-0.02040823,-0.04795056,-0.008684142,-0.02040823,-0.008684142,-0.008684142,-0.008684142,-0.02040823,-0.01454618
