TICKER,Authority,Calamity,Call,Childhood,Civilians,Civilization,Complex,Confront,Cycles,Death,Defcon,Destruction,Development,Doomsday,Dreamers,Duty,Eroticism,Forget,God,History,Indians,Jack,Japan,Justice,Land,Launch,Malfunction,Man,Nature,Normality,Nukes,Others,Russians,Scientists,Time,War
1,-0.001,-0.00219,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0031,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0038,-0.001,-0.0024,-0.005760001,-0.001,-0.0024,-0.001,-0.001,-0.001,-0.0024,-0.0017
2,-0.001,-0.00219,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0031,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0038,-0.001,-0.0024,-0.005760001,-0.001,-0.0024,-0.001,-0.001,-0.001,-0.0024,-0.0017
3,-0.001992,-0.00434904,0.994008,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.0061584,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.007547201,-0.001992,-0.0047696,-0.01142016,-0.001992,-0.0047696,-0.001992,-0.001992,-0.001992,-0.0047696,-0.0033808
4,-0.002944307,-0.006355136,3.555058,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.009011042,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.01103329,-0.002944307,-0.006988798,-0.01658762,-0.002944307,-0.006988798,-0.002944307,-0.002944307,-0.002944307,-0.006988798,-0.004966552
5,-0.003904959,-0.00839426,4.154434,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.01190779,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.003904959,-0.0145754,-0.003904959,-0.009240179,-0.02186216,-0.003904959,-0.009240179,-0.003904959,-0.003904959,-0.003904959,-0.009240179,-0.00657257
6,-0.00485591,-0.01039647,4.530951,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.01475471,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.00485591,-0.01805431,-0.00485591,-0.01145511,-0.02701818,-0.00485591,-0.01145511,-0.00485591,-0.00485591,-0.00485591,-0.01145511,-0.008155509
7,-0.00585591,-0.01258647,4.529951,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.01785471,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.00585591,-0.02185431,-0.00585591,-0.01385511,-0.03277818,-0.00585591,-0.01385511,-0.00585591,-0.00585591,-0.00585591,-0.01385511,-0.009855509
8,-0.00671964,-0.01425706,7.78971,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.02025382,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.00671964,-0.02476523,-0.00671964,-0.01574242,-0.03686929,-0.00671964,-0.01574242,-0.00671964,-0.00671964,-0.00671964,-0.01574242,-0.01123103
9,-0.00764263,-0.01615535,8.603224,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.02295952,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.00764263,-0.02806515,-0.00764263,-0.01785388,-0.04169346,-0.00764263,-0.01785388,-0.00764263,-0.00764263,-0.00764263,-0.01785388,-0.01274826
10,-0.008556204,-0.01801841,9.011202,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.02561743,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.008556204,-0.03130451,-0.008556204,-0.01993035,-0.04640498,-0.008556204,-0.01993035,-0.008556204,-0.008556204,-0.008556204,-0.01993035,-0.01424327
