TICKER,Authority,Calamity,Call,Childhood,Civilians,Civilization,Complex,Confront,Cycles,Death,Defcon,Destruction,Development,Doomsday,Dreamers,Duty,Eroticism,Forget,God,History,Indians,Jack,Japan,Justice,Land,Launch,Malfunction,Man,Nature,Normality,Nukes,Others,Russians,Scientists,Time,War
1,-0.001,-0.00219,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0031,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0038,-0.001,-0.0024,-0.005760001,-0.001,-0.0024,-0.001,-0.001,-0.001,-0.0024,-0.0017
2,-0.001,-0.00219,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0031,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0038,-0.001,-0.0024,-0.005760001,-0.001,-0.0024,-0.001,-0.001,-0.001,-0.0024,-0.0017
3,-0.001992,-0.00434904,0.994008,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.0061584,-0.001992,-0.001992,-0.001992,-0.001992,-0.001992,-0.007547201,-0.001992,-0.0047696,-0.01142016,-0.001992,-0.0047696,-0.001992,-0.001992,-0.001992,-0.0047696,-0.0033808
4,-0.002944307,-0.006355136,3.555058,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.009011042,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.002944307,-0.01103329,-0.002944307,-0.006988798,-0.01658762,-0.002944307,-0.006988798,-0.002944307,-0.002944307,-0.002944307,-0.006988798,-0.004966552
5,-0.00392853,-0.008484559,3.827873,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.01202947,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.00392853,-0.01472978,-0.00392853,-0.009329155,-0.02215264,-0.00392853,-0.009329155,-0.00392853,-0.00392853,-0.00392853,-0.009329155,-0.006628843
6,-0.004898959,-0.01056104,4.153738,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.01497659,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.004898959,-0.0183358,-0.004898959,-0.01161738,-0.02754729,-0.004898959,-0.01161738,-0.004898959,-0.004898959,-0.004898959,-0.01161738,-0.00825817
7,-0.00583997,-0.01252492,4.530605,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.01777195,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.00583997,-0.02174928,-0.00583997,-0.01379462,-0.03257977,-0.00583997,-0.01379462,-0.00583997,-0.00583997,-0.00583997,-0.01379462,-0.009817296
8,-0.00683997,-0.01471492,4.529605,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.02087195,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.00683997,-0.02554928,-0.00683997,-0.01619462,-0.03833977,-0.00683997,-0.01619462,-0.00683997,-0.00683997,-0.00683997,-0.01619462,-0.0115173
9,-0.00783997,-0.01690492,4.528605,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.02397195,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.00783997,-0.02934928,-0.00783997,-0.01859462,-0.04409976,-0.00783997,-0.01859462,-0.00783997,-0.00783997,-0.00783997,-0.01859462,-0.0132173
10,-0.008751784,-0.01875751,6.367062,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.02661713,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.008751784,-0.03257225,-0.008751784,-0.02066201,-0.04877466,-0.008751784,-0.02066201,-0.008751784,-0.008751784,-0.008751784,-0.02066201,-0.0147069
