TICKER,Authority,Calamity,Call,Childhood,Civilians,Civilization,Complex,Confront,Cycles,Death,Defcon,Destruction,Development,Doomsday,Dreamers,Duty,Eroticism,Forget,God,History,Indians,Jack,Japan,Justice,Land,Launch,Malfunction,Man,Nature,Normality,Nukes,Others,Russians,Scientists,Time,War
1,-0.0005,-0.001095,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.00155,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0019,-0.0005,-0.0012,-0.00288,-0.0005,-0.0012,-0.0005,-0.0005,-0.0005,-0.0012,-0.0008500001
2,-0.0005,-0.001095,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.00155,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0019,-0.0005,-0.0012,-0.00288,-0.0005,-0.0012,-0.0005,-0.0005,-0.0005,-0.0012,-0.0008500001
3,-0.001,-0.00219,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0031,-0.001,-0.001,-0.001,-0.001,-0.001,-0.003800001,-0.001,-0.0024,-0.00576,-0.001,-0.0024,-0.001,-0.001,-0.001,-0.0024,-0.0017
4,-0.001485036,-0.003227167,2.182977,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.004572263,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.001485036,-0.005601339,-0.001485036,-0.003543187,-0.00845356,-0.001485036,-0.003543187,-0.001485036,-0.001485036,-0.001485036,-0.003543187,-0.002514111
5,-0.001965186,-0.00424567,3.555326,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.006019355,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.001965186,-0.007370744,-0.001965186,-0.004667964,-0.01108712,-0.001965186,-0.004667964,-0.001965186,-0.001965186,-0.001965186,-0.004667964,-0.003316575
6,-0.002465186,-0.00534067,3.554826,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.007569354,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.002465186,-0.009270745,-0.002465186,-0.005867964,-0.01396713,-0.002465186,-0.005867964,-0.002465186,-0.002465186,-0.002465186,-0.005867964,-0.004166575
7,-0.002894624,-0.006165681,7.102777,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.008755428,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.002894624,-0.01070903,-0.002894624,-0.006801823,-0.01597885,-0.002894624,-0.006801823,-0.002894624,-0.002894624,-0.002894624,-0.006801823,-0.004848224
8,-0.003394624,-0.007260682,7.102277,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.01030543,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.003394624,-0.01260903,-0.003394624,-0.008001823,-0.01885885,-0.003394624,-0.008001823,-0.003394624,-0.003394624,-0.003394624,-0.008001823,-0.005698224
9,-0.003857759,-0.008215429,6.121267,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.01166608,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.003857759,-0.01426885,-0.003857759,-0.009063301,-0.02128843,-0.003857759,-0.009063301,-0.003857759,-0.003857759,-0.003857759,-0.009063301,-0.00646053
10,-0.004314182,-0.009144799,5.50478,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.01299241,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.004314182,-0.01588515,-0.004314182,-0.01009966,-0.02363663,-0.004314182,-0.01009966,-0.004314182,-0.004314182,-0.004314182,-0.01009966,-0.00720692
